5,0,0,5,5,0,0
5,0,0,0,0,0,5
0,0,0,0,0,0,0
0,0,16,0,0,0,0
0,16,0,0,0,0,0
5,16,16,1,5,1,0
1,16,16,1,1,1,1
5,16,24,1,1,0,0
1,16,24,1,1,1,1
1,16,28,1,1,1,1
0,20,24,0,0,0,0
0,20,28,0,0,0,0
1,24,16,1,1,1,1
0,24,24,0,0,0,0
5,0,32,0,0,5,0
0,0,32,0,0,0,0
0,0,48,0,0,0,0
5,16,32,1,0,1,0
1,16,32,1,1,1,1
0,16,40,0,0,0,0
1,24,32,1,1,1,1
0,24,40,0,0,0,0
0,16,48,0,0,0,0
0,32,0,0,0,0,0
0,32,32,0,0,0,0

0,0,0,0,0,0,0
0,0,16,0,0,0,0
0,16,0,0,0,0,0
1,16,16,1,1,1,1
1,16,24,1,1,1,1
1,16,28,1,1,1,1
0,20,24,0,0,0,0
0,20,28,0,0,0,0
5,16,24,1,1,0,0
1,24,16,1,1,1,1
0,24,24,0,0,0,0
5,16,16,1,5,1,0
5,0,0,0,0,0,5
0,0,32,0,0,0,0
0,0,48,0,0,0,0
1,16,32,1,1,1,1
0,16,40,0,0,0,0
1,24,32,1,1,1,1
0,24,40,0,0,0,0
5,16,32,1,0,1,0
0,16,48,0,0,0,0
5,0,32,0,0,5,0
0,32,0,0,0,0,0
0,32,32,0,0,0,0
5,0,0,5,5,0,0
